,gender_female,gender_male,region_Chungcheung,region_Honam,region_Others,region_Sudo,region_Youngnam,edu,income,age,score_gov,score_progress,score_intention,vote,parties
53,0,1,1,0,0,0,0,1.0,0.6666666666666667,1.0,0.25,0.75,0.55,1,2
54,0,1,0,0,0,0,1,0.5,0.0,1.0,0.5,0.25,0.5,1,2
55,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,0.5,0.5,1,2
56,1,0,0,0,0,0,1,0.5,0.3333333333333333,1.0,0.75,0.25,0.4,1,4
57,1,0,0,1,0,0,0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.75,0.65,0,3
58,0,1,0,0,0,1,0,1.0,0.6666666666666667,0.6666666666666667,0.75,0.75,0.55,1,1
59,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.75,0.75,0.5,0,2
60,0,1,0,0,1,0,0,0.0,0.6666666666666667,0.6666666666666667,0.5,0.75,0.5,1,3
61,1,0,0,0,0,1,0,0.0,0.0,1.0,0.5,0.25,0.6,1,2
62,0,1,0,0,0,1,0,0.0,0.3333333333333333,1.0,0.0,0.0,0.4,1,2
63,0,1,0,0,0,1,0,0.5,0.3333333333333333,0.6666666666666667,0.5,0.5,0.30000000000000004,1,4
64,1,0,0,0,0,1,0,0.5,0.3333333333333333,1.0,0.25,0.5,0.4,0,2
65,1,0,0,1,0,0,0,0.5,1.0,0.6666666666666667,0.25,0.25,0.2,1,4
66,1,0,0,0,0,1,0,0.5,0.0,1.0,0.75,0.25,0.5,1,4
67,0,1,0,0,0,0,1,1.0,1.0,0.6666666666666667,0.0,0.25,0.25,1,2
68,1,0,0,0,0,0,1,0.5,1.0,0.3333333333333333,0.5,0.5,0.35,0,4
69,1,0,0,0,0,0,1,0.5,0.6666666666666667,0.3333333333333333,0.25,0.25,0.7,0,2
70,1,0,0,0,0,1,0,0.5,1.0,1.0,0.5,0.5,0.25,0,4
71,0,1,0,0,1,0,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.25,0.25,1,2
72,0,1,1,0,0,0,0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.75,0.6,0,1
73,0,1,0,0,0,1,0,0.5,1.0,0.3333333333333333,0.75,0.5,0.8999999999999999,1,1
74,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.25,0.25,0.8,1,3
75,0,1,0,0,0,0,1,1.0,0.6666666666666667,0.3333333333333333,0.75,0.75,0.5,1,1
